product_name,category,price,old_url,local_image,gallery_count,description_found,price_found,image_found,image_match_confidence,status,notes
BEURRE DE CACAO 450G,Soins,16.0,https://dieynissa-fashion-creation.com/produit/beurre-de-cacao-450g/,assets/Ancien site/Soins/beurre-cacao-400G.png,0,oui,oui,oui,0.9,OK,"Nom de fichier indique 400G alors que le titre produit indique 450G — écart de grammage à vérifier avec la cliente, mais correspondance produit non ambiguë (seul beurre de cacao du catalogue)."
MIEL DE NIGELLE HABBA SAOUDA,Soins,25.0,https://dieynissa-fashion-creation.com/produit/miel-de-nigelle-habba-saouda/,assets/Ancien site/Soins/miel-nigelle-habba-saouda.png,0,oui,oui,oui,1.0,OK,"Rangé par la cliente dans Soins alors que catégorisé 'Epicerie éthnique' sur l'ancien site — conservé dans Soins conformément au classement local (signal fort), catégorie d'origine tracée dans metadata."
HUILE DE COCO PUR 450G,Soins,16.0,https://dieynissa-fashion-creation.com/produit/huile-de-coco-pur-450g/,assets/Ancien site/Soins/huile-pur-coco-450G.png,0,oui,oui,oui,1.0,OK,
Beurre de karité,Soins,6.5,https://dieynissa-fashion-creation.com/produit/beurre-de-karite/,assets/Ancien site/Soins/Beurre-karité.png,0,oui,oui,oui,1.0,OK,
DÉTOX PUISSANT ANCESTRAL AU KHAMARÉ 80G,Soins,17.0,https://dieynissa-fashion-creation.com/produit/detox-puissant-ancestral-au-khamare-80g/,assets/Ancien site/Soins/detox-puissant-ancestral-khamaré-80G.png,0,oui,oui,oui,1.0,OK,
NIGELLE D’ÉGYPTE HABBA SAWDA,Soins,8.9,https://dieynissa-fashion-creation.com/produit/nigelle-degypte-habba-sawda/,assets/Ancien site/Soins/Nigelle-egypte-habba-sawda.png,0,oui,oui,oui,1.0,OK,
TISANE MIXE DE KHAMARÉ/VÉTIVER,Soins,8.5,https://dieynissa-fashion-creation.com/produit/tisane-mixe-de-khamare-vetiver/,assets/Ancien site/Soins/tisane-mixe-khamaré-vétiver.png,0,oui,oui,oui,1.0,OK,
SAKHÉ SIKHÉ TRAITEMENT 3 JOURS 60G,Soins,10.9,https://dieynissa-fashion-creation.com/produit/sakhe-sikhe-traitement-3-jours-60g/,assets/Ancien site/Soins/sakhé-sikhé-traitement-3J-60G.png,0,oui,oui,oui,1.0,OK,
SAVON AU CURCUMA 135G,Soins,8.9,https://dieynissa-fashion-creation.com/produit/savon-au-curcuma-135g/,assets/Ancien site/Soins/savon-curcuma-135G.png,0,oui,oui,oui,1.0,OK,
SAVON BAOBAB ET NIGELLE 125G,Soins,8.9,https://dieynissa-fashion-creation.com/produit/savon-baobab-et-nigelle-125g/,assets/Ancien site/Soins/savon-baobab-nigelle-125G.png,0,oui,oui,oui,1.0,OK,
POUDRE KHAMARÉ EXPLOSIF GRAND MÈRE 205G,Soins,8.5,https://dieynissa-fashion-creation.com/produit/poudre-khamare-explosif-grand-mere-205g-2/,assets/Ancien site/Soins/poudre-khamaré-explosif-205G.png,0,oui,oui,oui,1.0,OK,
THIOKHO POUDRE DE SOUCHET 205G,Soins,8.5,https://dieynissa-fashion-creation.com/produit/thiokho-poudre-de-souchet-205g-2/,assets/Ancien site/Soins/thioko-poudre-souchet.png,0,oui,oui,oui,1.0,OK,
POMMADE FUNEGREC 200G,Soins,22.0,https://dieynissa-fashion-creation.com/produit/pommade-funegrec-200g/,assets/Ancien site/Soins/pommade-funegrec.png,0,oui,oui,oui,1.0,OK,Le titre produit orthographie 'FUNEGREC' (déjà présent ainsi sur l'ancien site) alors que la description parle de 'Fenugrec' — coquille d'origine conservée telle quelle (aucune réécriture commerciale).
LE FRUIT 4 CÔTÉ / L’ÉSÉSE,Soins,12.0,https://dieynissa-fashion-creation.com/produit/106/,assets/Ancien site/Soins/le-fruit-4-coté.png,0,oui,oui,oui,1.0,OK,Slug d'origine numérique ('106') sur l'ancien site — nom réel du produit : 'LE FRUIT 4 CÔTÉ / L’ÉSÉSE'.
SAVON NOIR MOU DU NIGÉRIA,Soins,10.0,https://dieynissa-fashion-creation.com/produit/savon-noir-mou-du-nigeria/,assets/Ancien site/Soins/savon-noir-mou-nigeria.png,0,oui,oui,oui,1.0,OK,
SOIN POUR CHEVEUX AU CHÉBÉ,Soins,,https://dieynissa-fashion-creation.com/produit/soin-pour-cheveux-au-chebe/,assets/Ancien site/Soins/soin-cheveux-chébé.png,0,oui,non,oui,1.0,OK,Produit en rupture de stock / non achetable sur l'ancien site (is_in_stock=false).
FEUILLE DE DJEKA 40G,Soins,10.0,https://dieynissa-fashion-creation.com/produit/feuille-de-djeka-40g/,assets/Ancien site/Soins/feuille-djeka.png,0,oui,oui,oui,1.0,OK,
POUDRE DE CHÉBÉ,Soins,8.9,https://dieynissa-fashion-creation.com/produit/poudre-de-chebe/,assets/Ancien site/Soins/poudre-chébé.png,0,oui,oui,oui,1.0,OK,
SAVON DUDU OSUM,Soins,6.5,https://dieynissa-fashion-creation.com/produit/savon-dudu-osum/,assets/Ancien site/Soins/savon-dudu-osum.png,0,oui,oui,oui,1.0,OK,
KHAMARÉ OU VÉTIVÉR,Soins,6.0,https://dieynissa-fashion-creation.com/produit/khamare-ou-vetiver/,assets/Ancien site/Soins/khamaré-vétiver.png,0,oui,oui,oui,1.0,OK,
LE SÉNÉ DU YÉMEN 50G,Soins,8.9,https://dieynissa-fashion-creation.com/produit/le-sene-du-yemen-50g/,assets/Ancien site/Soins/séné-yemen.png,0,oui,oui,oui,1.0,OK,
KHAMARÉ NOUROUTÉ GRAND MÈRE,Soins,12.0,https://dieynissa-fashion-creation.com/produit/khamare-nouroute-grand-mere/,assets/Ancien site/Soins/khamaré-nourouté.png,0,oui,oui,oui,1.0,OK,
